Name,City,State,Country,Type,Holes,Clips
Coffin Golf Course,Indianapolis,,US,Public,18,0
Cohasset Golf Club,Cohasset,,US,Public,18,0
Cold Water Canyon Golf Course,Wisconsin Dells,,US,Public,18,0
Colina Park Golf Course,San Diego,,US,Public,18,0
College Heights Country Club,Wilber,,US,Public,18,0
Collegiate Peaks Golf Course,Buena Vista,,US,Public,18,0
Collier’s Reserve Country Club,Naples,,US,Public,18,0
Colonie Golf & Country Club,Voorheesville,,US,Public,18,0
Columbia Country Club,Blythewood,,US,Public,18,0
Columbia Edgewater Country Club,Portland,,US,Public,18,0
Columbia Golf & Country Club,Claverack,,US,Public,18,0
Colwood Golf Center,Portland,,US,Public,18,0
Conestoga Golf Club,Mesquite,,US,Public,18,0
Connemara Golf Course,Nicholasville,,US,Public,18,0
Contra Costa Country Club,Pleasant Hill,,US,Private,18,0
Cool Springs Golf Course,Onaga,,US,Public,18,0
Coon Rapids Country Club,Coon Rapids,,US,Public,18,0
Coonskin Golf Course,Charleston,,US,Public,18,0
Coosa Country Club,Rome,,US,Public,18,0
Coosa Pines Golf Club,Childersburg,,US,Public,18,0
Coosaw Creek Country Club,North Charleston,,US,Public,18,0
Copley Country Club,Morrisville,,US,Public,18,0
Copper Creek Golf Course,Pleasant Hill,,US,Public,18,0
Copperleaf Golf Club,Bonita Springs,,US,Public,18,0
Correctionville Golf Club,Correctionville,,US,Public,18,0
Costa Caribe Golf and Country Club,Ponce,,US,Public,18,0
Cottonwood at Torrington,Torrington,,US,Public,18,0
Coulee Golf Bowl,Onalaska,,US,Public,18,0
Council Fire Golf Club,Chattanooga,,US,Public,18,0
Country Club at Loch Lloyd,Loch Lloyd,,US,Public,18,0
Country Club Estates Golf Course,Fontana,,US,Public,18,0
Country Club of Decatur,Decatur,,US,Public,18,0
Country Club of Johnston County,Smithfield,,US,Public,18,0
Country Club of Leawood,Leawood,,US,Public,18,0
Country Club of Missouri,Columbia,,US,Public,18,0
Country Club of Orange Park,Orange Park,,US,Public,18,0
Country Club of Salisbury,Salisbury,,US,Public,18,0
Country Club of Terre Haute,Terre Haute,,US,Public,18,0
Country Club of the North,Beavercreek,,US,Public,18,0
Country Club of the Pacific,Yona Municipality,,US,Public,18,0
